ITER        ENERGY         DIFF
   0     249.35882    0.654E+02-0.35851E+01 0.22944E+02
   1     161.03178    0.159E+01 0.24445E+01 0.26389E+02
   2     149.74547    0.129E+01 0.97918E+01 0.28157E+02
   3     149.42186    0.540E-01 0.99478E+01 0.28245E+02
   4     149.41515    0.659E-02 0.99336E+01 0.28238E+02
   5     149.41500    0.885E-03 0.99350E+01 0.28239E+02
   6     149.41499    0.125E-03 0.99348E+01 0.28239E+02
   7     149.41499    0.182E-04 0.99349E+01 0.28239E+02
   8     149.41499    0.267E-05 0.99349E+01 0.28239E+02
   9     149.41499    0.394E-06 0.99349E+01 0.28239E+02
  10     149.41499    0.583E-07 0.99349E+01 0.28239E+02
  11     149.41499    0.867E-08 0.99349E+01 0.28239E+02
  12     149.41499    0.129E-08 0.99349E+01 0.28239E+02
  13     149.41499    0.193E-09 0.99349E+01 0.28239E+02
