ITER        ENERGY         DIFF
   0     701.70831    0.635E+02-0.60677E+01 0.21747E+02
   1     527.42700    0.244E+01 0.25177E+01 0.26402E+02
   2     526.27026    0.800E-01 0.25214E+01 0.26403E+02
   3     526.25406    0.909E-02 0.25221E+01 0.26403E+02
   4     526.25381    0.117E-02 0.25221E+01 0.26403E+02
   5     526.25381    0.154E-03 0.25221E+01 0.26403E+02
   6     526.25381    0.211E-04 0.25221E+01 0.26403E+02
   7     526.25381    0.295E-05 0.25221E+01 0.26403E+02
   8     526.25381    0.421E-06 0.25221E+01 0.26403E+02
   9     526.25381    0.609E-07 0.25221E+01 0.26403E+02
  10     526.25381    0.891E-08 0.25221E+01 0.26403E+02
  11     526.25381    0.131E-08 0.25221E+01 0.26403E+02
  12     526.25381    0.194E-09 0.25221E+01 0.26403E+02
