# number of matrix elements
10000
i j k l Vbar
0 5 0 6 0
0 5 0 7 3.57365
0 5 0 8 0
0 5 0 9 2.45696
0 5 1 0 -3.05556
0 5 1 1 0
0 5 1 2 -4.63569
0 5 1 3 0
0 5 1 4 -4.55857
0 5 1 5 0
0 5 1 6 -3.57365
0 5 1 7 0
0 5 1 8 -2.45696
0 5 1 9 0
0 5 2 0 0
0 5 2 1 4.63569
0 5 2 2 0
0 5 2 3 3.89555
0 5 2 4 0
0 5 2 5 2.92994
0 5 2 6 0
0 5 2 7 2.45213
0 5 2 8 0
0 5 2 9 2.07205
0 5 3 0 -4.63569
0 5 3 1 0
0 5 3 2 -3.89555
0 5 3 3 0
0 5 3 4 -2.92994
0 5 3 5 0
0 5 3 6 -2.45213
0 5 3 7 0
0 5 3 8 -2.07205
0 5 3 9 0
0 5 4 0 0
0 5 4 1 4.55857
0 5 4 2 0
0 5 4 3 2.92994
0 5 4 4 0
0 5 4 5 2.25633
0 5 4 6 0
0 5 4 7 1.81818
0 5 4 8 0
0 5 4 9 1.54494
0 5 5 0 -4.55857
0 5 5 1 0
0 5 5 2 -2.92994
0 5 5 3 0
0 5 5 4 -2.25633
0 5 5 5 0
0 5 5 6 -1.81818
0 5 5 7 0
0 5 5 8 -1.54494
0 5 5 9 0
0 5 6 0 0
0 5 6 1 3.57365
0 5 6 2 0
0 5 6 3 2.45213
0 5 6 4 0
0 5 6 5 1.81818
0 5 6 6 0
0 5 6 7 1.44739
0 5 6 8 0
0 5 6 9 1.20307
0 5 7 0 -3.57365
0 5 7 1 0
0 5 7 2 -2.45213
0 5 7 3 0
0 5 7 4 -1.81818
0 5 7 5 0
0 5 7 6 -1.44739
0 5 7 7 0
0 5 7 8 -1.20307
0 5 7 9 0
0 5 8 0 0
0 5 8 1 2.45696
0 5 8 2 0
0 5 8 3 2.07205
0 5 8 4 0
0 5 8 5 1.54494
0 5 8 6 0
0 5 8 7 1.20307
0 5 8 8 0
0 5 8 9 0.982637
0 5 9 0 -2.45696
0 5 9 1 0
0 5 9 2 -2.07205
0 5 9 3 0
0 5 9 4 -1.54494
0 5 9 5 0
0 5 9 6 -1.20307
0 5 9 7 0
0 5 9 8 -0.982637
0 5 9 9 0
0 6 0 0 0
0 6 0 1 0
0 6 0 2 0
0 6 0 3 0
0 6 0 4 0
0 6 0 5 0
0 6 0 6 0
0 6 0 7 0
0 6 0 8 0
0 6 0 9 0
0 6 1 0 0
0 6 1 1 0
0 6 1 2 0
0 6 1 3 0
0 6 1 4 0
0 6 1 5 0
0 6 1 6 0
0 6 1 7 0
0 6 1 8 0
0 6 1 9 0
0 6 2 0 0
0 6 2 1 0
0 6 2 2 0
0 6 2 3 0
0 6 2 4 0
0 6 2 5 0
0 6 2 6 0
0 6 2 7 0
0 6 2 8 0
0 6 2 9 0
0 6 3 0 0
0 6 3 1 0
0 6 3 2 0
0 6 3 3 0
0 6 3 4 0
0 6 3 5 0
0 6 3 6 0
0 6 3 7 0
0 6 3 8 0
0 6 3 9 0
0 6 4 0 0
0 6 4 1 0
0 6 4 2 0
0 6 4 3 0
0 6 4 4 0
0 6 4 5 0
0 6 4 6 0
0 6 4 7 0
0 6 4 8 0
0 6 4 9 0
0 6 5 0 0
0 6 5 1 0
0 6 5 2 0
0 6 5 3 0
0 6 5 4 0
0 6 5 5 0
0 6 5 6 0
0 6 5 7 0
0 6 5 8 0
0 6 5 9 0
0 6 6 0 0
0 6 6 1 0
0 6 6 2 0
0 6 6 3 0
0 6 6 4 0
0 6 6 5 0
0 6 6 6 0
0 6 6 7 0
0 6 6 8 0
0 6 6 9 0
0 6 7 0 0
0 6 7 1 0
0 6 7 2 0
0 6 7 3 0
0 6 7 4 0
0 6 7 5 0
0 6 7 6 0
0 6 7 7 0
0 6 7 8 0
0 6 7 9 0
0 6 8 0 0
0 6 8 1 0
0 6 8 2 0
0 6 8 3 0
0 6 8 4 0
0 6 8 5 0
0 6 8 6 0
0 6 8 7 0
0 6 8 8 0
0 6 8 9 0
0 6 9 0 0
0 6 9 1 0
0 6 9 2 0
0 6 9 3 0
0 6 9 4 0
0 6 9 5 0
0 6 9 6 0
0 6 9 7 0
0 6 9 8 0
0 6 9 9 0
0 7 0 0 0
0 7 0 1 1.39548
0 7 0 2 0
0 7 0 3 2.80427
0 7 0 4 0
0 7 0 5 3.57365
0 7 0 6 0
0 7 0 7 3.51501
0 7 0 8 0
0 7 0 9 2.92572
0 7 1 0 -1.39548
0 7 1 1 0
0 7 1 2 -2.80427
0 7 1 3 0
0 7 1 4 -3.57365
0 7 1 5 0
0 7 1 6 -3.51501
0 7 1 7 0
0 7 1 8 -2.92572
0 7 1 9 0
0 7 2 0 0
0 7 2 1 2.80427
0 7 2 2 0
0 7 2 3 3.27475
0 7 2 4 0
0 7 2 5 2.76867
0 7 2 6 0
0 7 2 7 2.26035
0 7 2 8 0
0 7 2 9 1.95827
0 7 3 0 -2.80427
0 7 3 1 0
0 7 3 2 -3.27475
0 7 3 3 0
0 7 3 4 -2.76867
0 7 3 5 0
0 7 3 6 -2.26035
0 7 3 7 0
0 7 3 8 -1.95827
0 7 3 9 0
0 7 4 0 0
0 7 4 1 3.57365
0 7 4 2 0
0 7 4 3 2.76867
0 7 4 4 0
0 7 4 5 2.0716
0 7 4 6 0
0 7 4 7 1.68776
0 7 4 8 0
0 7 4 9 1.42891
0 7 5 0 -3.57365
0 7 5 1 0
0 7 5 2 -2.76867
0 7 5 3 0
0 7 5 4 -2.0716
0 7 5 5 0
0 7 5 6 -1.68776
0 7 5 7 0
0 7 5 8 -1.42891
0 7 5 9 0
0 7 6 0 0
0 7 6 1 3.51501
0 7 6 2 0
0 7 6 3 2.26035
0 7 6 4 0
0 7 6 5 1.68776
0 7 6 6 0
0 7 6 7 1.33796
0 7 6 8 0
0 7 6 9 1.11399
0 7 7 0 -3.51501
0 7 7 1 0
0 7 7 2 -2.26035
0 7 7 3 0
0 7 7 4 -1.68776
0 7 7 5 0
0 7 7 6 -1.33796
0 7 7 7 0
0 7 7 8 -1.11399
0 7 7 9 0
0 7 8 0 0
0 7 8 1 2.92572
0 7 8 2 0
0 7 8 3 1.95827
0 7 8 4 0
0 7 8 5 1.42891
0 7 8 6 0
0 7 8 7 1.11399
0 7 8 8 0
0 7 8 9 0.910172
0 7 9 0 -2.92572
0 7 9 1 0
0 7 9 2 -1.95827
0 7 9 3 0
0 7 9 4 -1.42891
0 7 9 5 0
0 7 9 6 -1.11399
0 7 9 7 0
0 7 9 8 -0.910172
0 7 9 9 0
0 8 0 0 0
0 8 0 1 0
0 8 0 2 0
0 8 0 3 0
0 8 0 4 0
0 8 0 5 0
0 8 0 6 0
0 8 0 7 0
0 8 0 8 0
0 8 0 9 0
0 8 1 0 0
0 8 1 1 0
0 8 1 2 0
0 8 1 3 0
0 8 1 4 0
0 8 1 5 0
0 8 1 6 0
0 8 1 7 0
0 8 1 8 0
0 8 1 9 0
0 8 2 0 0
0 8 2 1 0
0 8 2 2 0
0 8 2 3 0
0 8 2 4 0
0 8 2 5 0
0 8 2 6 0
0 8 2 7 0
0 8 2 8 0
0 8 2 9 0
0 8 3 0 0
0 8 3 1 0
0 8 3 2 0
0 8 3 3 0
0 8 3 4 0
0 8 3 5 0
0 8 3 6 0
0 8 3 7 0
0 8 3 8 0
0 8 3 9 0
0 8 4 0 0
0 8 4 1 0
0 8 4 2 0
0 8 4 3 0
0 8 4 4 0
0 8 4 5 0
0 8 4 6 0
0 8 4 7 0
0 8 4 8 0
0 8 4 9 0
0 8 5 0 0
0 8 5 1 0
0 8 5 2 0
0 8 5 3 0
0 8 5 4 0
0 8 5 5 0
0 8 5 6 0
0 8 5 7 0
0 8 5 8 0
0 8 5 9 0
0 8 6 0 0
0 8 6 1 0
0 8 6 2 0
0 8 6 3 0
0 8 6 4 0
0 8 6 5 0
0 8 6 6 0
0 8 6 7 0
0 8 6 8 0
0 8 6 9 0
0 8 7 0 0
0 8 7 1 0
0 8 7 2 0
0 8 7 3 0
0 8 7 4 0
0 8 7 5 0
0 8 7 6 0
0 8 7 7 0
0 8 7 8 0
0 8 7 9 0
0 8 8 0 0
0 8 8 1 0
0 8 8 2 0
0 8 8 3 0
0 8 8 4 0
0 8 8 5 0
0 8 8 6 0
0 8 8 7 0
0 8 8 8 0
0 8 8 9 0
0 8 9 0 0
0 8 9 1 0
0 8 9 2 0
0 8 9 3 0
0 8 9 4 0
0 8 9 5 0
0 8 9 6 0
0 8 9 7 0
0 8 9 8 0
0 8 9 9 0
0 9 0 0 0
0 9 0 1 0.629417
0 9 0 2 0
0 9 0 3 1.57033
0 9 0 4 0
0 9 0 5 2.45696
0 9 0 6 0
0 9 0 7 2.92572
0 9 0 8 0
0 9 0 9 2.89147
0 9 1 0 -0.629417
0 9 1 1 0
0 9 1 2 -1.57033
0 9 1 3 0
0 9 1 4 -2.45696
0 9 1 5 0
0 9 1 6 -2.92572
0 9 1 7 0
0 9 1 8 -2.89147
0 9 1 9 0
0 9 2 0 0
0 9 2 1 1.57033
0 9 2 2 0
0 9 2 3 2.41646
0 9 2 4 0
0 9 2 5 2.47258
0 9 2 6 0
0 9 2 7 2.15057
0 9 2 8 0
0 9 2 9 1.84452
0 9 3 0 -1.57033
0 9 3 1 0
0 9 3 2 -2.41646
0 9 3 3 0
0 9 3 4 -2.47258
0 9 3 5 0
0 9 3 6 -2.15057
0 9 3 7 0
