2.42 	 0.0124157
2.43 	 -0.0234451
2.44 	 -0.0584961
2.45 	 -0.0919779
2.46 	 -0.123177
2.47 	 -0.151439
2.48 	 -0.176186
2.49 	 -0.196924
2.5 	 -0.213251
2.51 	 -0.224869
2.52 	 -0.231583
2.53 	 -0.233308
2.54 	 -0.230064
2.55 	 -0.221979
2.56 	 -0.209278
2.57 	 -0.192282
2.58 	 -0.171396
2.59 	 -0.147101
2.6 	 -0.119939
2.61 	 -0.0905068
2.62 	 -0.0594353
2.63 	 -0.0273811
2.64 	 0.0049899
2.65 	 0.0370156
2.66 	 0.0680512
2.67 	 0.0974822
2.68 	 0.124736
2.69 	 0.149293
2.7 	 0.170695
2.71 	 0.188555
2.72 	 0.202561
2.73 	 0.212483
2.74 	 0.218174
2.75 	 0.219572
2.76 	 0.216701
2.77 	 0.209666
2.78 	 0.198651
2.79 	 0.183914
2.8 	 0.165779
2.81 	 0.14463
2.82 	 0.120901
2.83 	 0.0950697
2.84 	 0.0676426
2.85 	 0.0391494
2.86 	 0.0101304
2.87 	 -0.0188735
2.88 	 -0.0473304
2.89 	 -0.0747277
2.9 	 -0.10058
2.91 	 -0.12444
2.92 	 -0.145901
2.93 	 -0.164609
2.94 	 -0.180264
2.95 	 -0.192625
2.96 	 -0.201514
2.97 	 -0.206818
2.98 	 -0.208487
2.99 	 -0.206536
3 	 -0.201043
3.01 	 -0.192146
3.02 	 -0.180036
3.03 	 -0.164958
3.04 	 -0.147202
3.05 	 -0.1271
3.06 	 -0.105014
3.07 	 -0.081334
3.08 	 -0.0564702
3.09 	 -0.0308439
3.1 	 -0.00488128
3.11 	 0.0209936
3.12 	 0.0463661
3.13 	 0.0708372
3.14 	 0.0940299
3.15 	 0.115594
3.16 	 0.135213
3.17 	 0.152606
3.18 	 0.167531
3.19 	 0.17979
3.2 	 0.189232
3.21 	 0.195748
3.22 	 0.199278
3.23 	 0.199808
3.24 	 0.197369
3.25 	 0.192036
3.26 	 0.183924
3.27 	 0.173189
3.28 	 0.16002
3.29 	 0.144639
3.3 	 0.127293
3.31 	 0.108255
3.32 	 0.087815
3.33 	 0.0662759
3.34 	 0.0439507
3.35 	 0.0211566
3.36 	 -0.00178977
3.37 	 -0.0245762
3.38 	 -0.0468995
3.39 	 -0.0684694
3.4 	 -0.0890117
3.41 	 -0.108272
3.42 	 -0.126019
3.43 	 -0.142045
3.44 	 -0.156171
3.45 	 -0.168245
3.46 	 -0.178145
3.47 	 -0.18578
3.48 	 -0.191088
3.49 	 -0.19404
3.5 	 -0.194633
3.51 	 -0.192897
3.52 	 -0.188886
3.53 	 -0.182682
3.54 	 -0.174391
3.55 	 -0.164139
3.56 	 -0.152075
3.57 	 -0.138363
3.58 	 -0.123182
3.59 	 -0.106724
3.6 	 -0.0891894
3.61 	 -0.0707865
3.62 	 -0.0517268
3.63 	 -0.0322238
3.64 	 -0.0124898
3.65 	 0.00726581
3.66 	 0.0268394
3.67 	 0.0460348
3.68 	 0.0646653
3.69 	 0.0825551
3.7 	 0.0995413
3.71 	 0.115474
3.72 	 0.13022
3.73 	 0.14366
3.74 	 0.15569
3.75 	 0.166227
3.76 	 0.1752
3.77 	 0.182557
3.78 	 0.188264
3.79 	 0.192302
3.8 	 0.194667
3.81 	 0.19537
3.82 	 0.19444
3.83 	 0.191915
3.84 	 0.187848
3.85 	 0.182303
3.86 	 0.175354
3.87 	 0.167084
3.88 	 0.157585
3.89 	 0.146955
3.9 	 0.135296
3.91 	 0.122717
3.92 	 0.109328
3.93 	 0.0952435
3.94 	 0.0805757
3.95 	 0.0654387
3.96 	 0.0499449
3.97 	 0.0342047
3.98 	 0.0183256
3.99 	 0.00241154
4 	 -0.013438
4.01 	 -0.0291285
4.02 	 -0.0445708
4.03 	 -0.0596815
4.04 	 -0.0743836
4.05 	 -0.0886066
4.06 	 -0.102287
4.07 	 -0.115367
4.08 	 -0.127797
4.09 	 -0.139533
4.1 	 -0.15054
4.11 	 -0.160788
4.12 	 -0.170253
4.13 	 -0.178918
4.14 	 -0.186773
4.15 	 -0.193812
4.16 	 -0.200036
4.17 	 -0.20545
4.18 	 -0.210064
4.19 	 -0.213893
4.2 	 -0.216955
4.21 	 -0.219271
4.22 	 -0.220868
4.23 	 -0.221774
4.24 	 -0.222017
4.25 	 -0.221632
4.26 	 -0.220651
4.27 	 -0.219111
4.28 	 -0.217048
4.29 	 -0.214498
4.3 	 -0.211499
4.31 	 -0.208089
4.32 	 -0.204305
4.33 	 -0.200183
4.34 	 -0.195761
4.35 	 -0.191073
4.36 	 -0.186154
4.37 	 -0.181037
4.38 	 -0.175755
4.39 	 -0.170338
4.4 	 -0.164816
4.41 	 -0.159216
4.42 	 -0.153565
4.43 	 -0.147886
4.44 	 -0.142204
4.45 	 -0.136539
4.46 	 -0.13091
4.47 	 -0.125336
4.48 	 -0.119833
4.49 	 -0.114416
4.5 	 -0.109098
4.51 	 -0.10389
4.52 	 -0.0988027
4.53 	 -0.0938454
4.54 	 -0.0890253
4.55 	 -0.0843487
4.56 	 -0.0798209
4.57 	 -0.0754457
4.58 	 -0.0712263
4.59 	 -0.0671647
4.6 	 -0.0632619
4.61 	 -0.0595185
4.62 	 -0.055934
4.63 	 -0.0525072
4.64 	 -0.0492366
4.65 	 -0.0461199
4.66 	 -0.0431545
