# number of matrix elements
alot
n1 s1 n2 s2 n3 s3 n4 s4 Vbar
0 1 2 1 2 -1 2 1 0
0 1 2 1 2 1 0 -1 0
0 1 2 1 2 1 0 1 0
0 1 2 1 2 1 1 -1 0
0 1 2 1 2 1 1 1 0
0 1 2 1 2 1 2 -1 0
0 1 2 1 2 1 2 1 0
1 -1 0 -1 0 -1 0 -1 0
1 -1 0 -1 0 -1 0 1 0
1 -1 0 -1 0 -1 1 -1 0
1 -1 0 -1 0 -1 1 1 0
1 -1 0 -1 0 -1 2 -1 0
1 -1 0 -1 0 -1 2 1 0
1 -1 0 -1 0 1 0 -1 0
1 -1 0 -1 0 1 0 1 0
1 -1 0 -1 0 1 1 -1 0
1 -1 0 -1 0 1 1 1 0
1 -1 0 -1 0 1 2 -1 0
1 -1 0 -1 0 1 2 1 0
1 -1 0 -1 1 -1 0 -1 0
1 -1 0 -1 1 -1 0 1 0
1 -1 0 -1 1 -1 1 -1 0
1 -1 0 -1 1 -1 1 1 0
1 -1 0 -1 1 -1 2 -1 0
1 -1 0 -1 1 -1 2 1 0
1 -1 0 -1 1 1 0 -1 0
1 -1 0 -1 1 1 0 1 0
1 -1 0 -1 1 1 1 -1 0
1 -1 0 -1 1 1 1 1 0
1 -1 0 -1 1 1 2 -1 0
1 -1 0 -1 1 1 2 1 0
1 -1 0 -1 2 -1 0 -1 0
1 -1 0 -1 2 -1 0 1 0
1 -1 0 -1 2 -1 1 -1 0
1 -1 0 -1 2 -1 1 1 0
1 -1 0 -1 2 -1 2 -1 0
1 -1 0 -1 2 -1 2 1 0
1 -1 0 -1 2 1 0 -1 0
1 -1 0 -1 2 1 0 1 0
1 -1 0 -1 2 1 1 -1 0
1 -1 0 -1 2 1 1 1 0
1 -1 0 -1 2 1 2 -1 0
1 -1 0 -1 2 1 2 1 0
1 -1 0 1 0 -1 0 -1 0
1 -1 0 1 0 -1 0 1 6.49961
1 -1 0 1 0 -1 1 -1 0
1 -1 0 1 0 -1 1 1 6.61607
1 -1 0 1 0 -1 2 -1 0
1 -1 0 1 0 -1 2 1 4.63569
1 -1 0 1 0 1 0 -1 -6.49961
1 -1 0 1 0 1 0 1 0
1 -1 0 1 0 1 1 -1 -6.61607
1 -1 0 1 0 1 1 1 0
1 -1 0 1 0 1 2 -1 -4.63569
1 -1 0 1 0 1 2 1 0
1 -1 0 1 1 -1 0 -1 0
1 -1 0 1 1 -1 0 1 6.61607
1 -1 0 1 1 -1 1 -1 0
1 -1 0 1 1 -1 1 1 4.13051
1 -1 0 1 1 -1 2 -1 0
1 -1 0 1 1 -1 2 1 3.34531
1 -1 0 1 1 1 0 -1 -6.61607
1 -1 0 1 1 1 0 1 0
1 -1 0 1 1 1 1 -1 -4.13051
1 -1 0 1 1 1 1 1 0
1 -1 0 1 1 1 2 -1 -3.34531
1 -1 0 1 1 1 2 1 0
1 -1 0 1 2 -1 0 -1 0
1 -1 0 1 2 -1 0 1 4.63569
1 -1 0 1 2 -1 1 -1 0
1 -1 0 1 2 -1 1 1 3.34531
1 -1 0 1 2 -1 2 -1 0
1 -1 0 1 2 -1 2 1 2.49034
1 -1 0 1 2 1 0 -1 -4.63569
1 -1 0 1 2 1 0 1 0
1 -1 0 1 2 1 1 -1 -3.34531
1 -1 0 1 2 1 1 1 0
1 -1 0 1 2 1 2 -1 -2.49034
1 -1 0 1 2 1 2 1 0
1 -1 1 -1 0 -1 0 -1 0
1 -1 1 -1 0 -1 0 1 0
1 -1 1 -1 0 -1 1 -1 0
1 -1 1 -1 0 -1 1 1 0
1 -1 1 -1 0 -1 2 -1 0
